18:34:45.043 [main] INFO  com.gmail.testCases.TC_Home - wantToBlockAdsAndNotifications: false
18:34:45.123 [main] INFO  com.gmail.testCases.TC_Home - Base class started...
18:34:45.185 [main] INFO  com.gmail.utilities.CustomizedChromeOptions - Entered into incognito mode
18:34:45.186 [main] INFO  com.gmail.utilities.CustomizedChromeOptions - Entered into Debugging mode with port:9222
18:34:49.268 [main] INFO  com.gmail.testCases.TC_Home - Chrome driver selected
18:34:57.224 [main] INFO  com.gmail.testCases.TC_Home - Login page started with Debugger mode
18:34:58.068 [main] INFO  com.gmail.testCases.TC_Home - Maximize the window
18:34:58.092 [main] INFO  com.gmail.testCases.TC_Home - loginUserType: user
18:34:58.211 [main] INFO  com.gmail.utilities.ClickOnAnyButton - Method called 'callMeToClickOnAnyButtonWithNameAndXpath' and Caller method name: checkMenus
18:34:58.213 [main] INFO  com.gmail.utilities.ClickOnAnyButton - totalButton: 5
18:34:58.215 [main] INFO  com.gmail.utilities.ClickOnAnyButton - Element name is >>Inbox and address is >> //div[contains(@class,'aim')]//*[text()='Inbox']
18:34:59.717 [main] INFO  com.gmail.utilities.ClickOnAnyButton - clicked on button >> Inbox
18:34:59.929 [main] INFO  com.gmail.utilities.ClickOnAnyButton - Element name is >>Starred and address is >> //div[contains(@class,'aim')]//*[text()='Starred']
18:35:00.796 [main] INFO  com.gmail.utilities.ClickOnAnyButton - clicked on button >> Starred
18:35:01.008 [main] INFO  com.gmail.utilities.ClickOnAnyButton - Element name is >>Snoozed and address is >> //div[contains(@class,'aim')]//*[text()='Sent']
18:35:01.613 [main] INFO  com.gmail.utilities.ClickOnAnyButton - clicked on button >> Snoozed
18:35:01.829 [main] INFO  com.gmail.utilities.ClickOnAnyButton - Element name is >>Sent and address is >> //div[contains(@class,'aim')]//*[text()='Drafts']
18:35:02.648 [main] INFO  com.gmail.utilities.ClickOnAnyButton - clicked on button >> Sent
18:35:02.849 [main] INFO  com.gmail.utilities.ClickOnAnyButton - Element name is >>Drafts and address is >> //div[contains(@class,'aim')]//*[text()='Snoozed']
18:35:03.520 [main] INFO  com.gmail.utilities.ClickOnAnyButton - clicked on button >> Drafts
18:35:03.777 [main] WARN  com.gmail.testCases.TC_Home - Exception From: Logout >> Cannot invoke "com.gmail.pageObject.PO_HomePage.UserLogout()" because "this.hp" is null
18:35:03.847 [main] INFO  com.gmail.testCases.TC_Home - Driver shutdown
